guests,nights,meal_plan,room_type,lead_time,year,month,market,room_price,status
2,3,Meal Plan 2,Room_Type 1,96,2017,7,Offline,94.5,Not Canceled
2,1,Meal Plan 1,Room_Type 1,18,2018,12,Offline,80.0,Not Canceled
1,4,Meal Plan 1,Room_Type 4,86,2018,11,Online,146.6,Canceled
2,2,Meal Plan 1,Room_Type 1,217,2018,9,Online,126.9,Canceled
1,2,Meal Plan 1,Room_Type 1,164,2017,10,Offline,100.0,Not Canceled
2,2,Meal Plan 1,Room_Type 1,211,2018,5,Offline,100.0,Canceled
2,2,Meal Plan 1,Room_Type 1,31,2018,2,Online,72.8,Not Canceled
3,3,Meal Plan 1,Room_Type 4,151,2018,7,Online,168.3,Canceled
3,7,Meal Plan 1,Room_Type 4,85,2018,7,Online,140.27,Not Canceled
1,5,Meal Plan 1,Room_Type 1,70,2018,10,Online,87.48,Not Canceled
2,5,Meal Plan 1,Room_Type 1,218,2018,8,Online,90.95,Canceled
2,1,Not Selected,Room_Type 1,139,2018,7,Online,85.5,Canceled
2,1,Meal Plan 1,Room_Type 4,1,2018,5,Complementary,0.0,Not Canceled
1,4,Meal Plan 1,Room_Type 1,11,2018,7,Online,145.0,Canceled
4,3,Meal Plan 1,Room_Type 6,36,2018,2,Online,160.5,Canceled
2,7,Meal Plan 1,Room_Type 4,18,2018,8,Online,142.43,Canceled
4,3,Meal Plan 1,Room_Type 6,75,2018,4,Online,157.6,Canceled
3,5,Meal Plan 1,Room_Type 4,142,2018,8,Online,138.55,Not Canceled
2,4,Meal Plan 1,Room_Type 4,107,2018,4,Online,95.2,Not Canceled
2,4,Meal Plan 1,Room_Type 1,18,2017,9,Online,96.0,Not Canceled
2,2,Meal Plan 1,Room_Type 1,48,2018,9,Offline,130.0,Not Canceled
2,4,Meal Plan 1,Room_Type 1,87,2018,4,Online,82.45,Not Canceled
2,2,Meal Plan 1,Room_Type 1,91,2018,5,Offline,75.0,Canceled
2,2,Meal Plan 2,Room_Type 1,320,2018,8,Offline,115.0,Canceled
1,11,Meal Plan 1,Room_Type 1,55,2018,12,Online,74.8,Not Canceled
2,4,Meal Plan 1,Room_Type 1,14,2017,8,Online,90.0,Not Canceled
2,1,Not Selected,Room_Type 1,13,2018,6,Online,89.0,Not Canceled
1,2,Not Selected,Room_Type 1,41,2018,6,Online,107.1,Canceled
3,3,Meal Plan 1,Room_Type 4,111,2018,8,Offline,94.78,Not Canceled
1,4,Meal Plan 1,Room_Type 1,151,2018,1,Offline,71.0,Not Canceled
2,4,Meal Plan 1,Room_Type 4,292,2018,12,Online,86.7,Canceled
2,3,Meal Plan 1,Room_Type 4,202,2018,10,Online,109.8,Canceled
2,1,Not Selected,Room_Type 1,63,2018,7,Online,103.5,Not Canceled
1,1,Not Selected,Room_Type 1,4,2018,4,Online,89.0,Not Canceled
2,3,Meal Plan 1,Room_Type 1,103,2018,5,Offline,80.0,Not Canceled
1,1,Not Selected,Room_Type 1,28,2018,11,Online,110.0,Canceled
3,5,Meal Plan 1,Room_Type 1,85,2018,8,Online,134.1,Not Canceled
1,2,Meal Plan 1,Room_Type 1,45,2018,9,Offline,81.0,Not Canceled
2,2,Meal Plan 1,Room_Type 1,27,2017,9,Offline,108.0,Not Canceled
2,4,Meal Plan 1,Room_Type 4,62,2018,3,Online,63.49,Not Canceled
1,2,Meal Plan 1,Room_Type 1,188,2018,6,Offline,130.0,Canceled
2,1,Meal Plan 1,Room_Type 1,1,2018,8,Online,151.0,Not Canceled
2,1,Not Selected,Room_Type 1,6,2017,8,Online,97.0,Not Canceled
2,6,Meal Plan 1,Room_Type 1,129,2018,8,Online,114.3,Canceled
2,3,Not Selected,Room_Type 1,67,2018,3,Online,67.5,Not Canceled
2,9,Meal Plan 1,Room_Type 1,160,2018,7,Online,97.56,Not Canceled
2,3,Meal Plan 1,Room_Type 1,259,2018,5,Offline,90.0,Canceled
1,1,Meal Plan 1,Room_Type 1,76,2018,10,Offline,120.0,Canceled
2,4,Meal Plan 1,Room_Type 1,102,2018,12,Offline,68.0,Not Canceled
2,2,Meal Plan 1,Room_Type 1,308,2018,11,Offline,52.0,Canceled
2,1,Not Selected,Room_Type 1,71,2018,11,Online,79.2,Not Canceled
2,3,Meal Plan 1,Room_Type 2,56,2018,2,Online,71.52,Not Canceled
1,1,Meal Plan 1,Room_Type 1,19,2018,10,Corporate,98.0,Not Canceled
2,1,Not Selected,Room_Type 1,13,2018,9,Corporate,100.0,Not Canceled
1,1,Meal Plan 1,Room_Type 1,0,2017,12,Online,0.0,Not Canceled
1,4,Meal Plan 1,Room_Type 1,195,2018,10,Online,90.9,Canceled
2,3,Meal Plan 1,Room_Type 1,4,2018,2,Online,93.0,Not Canceled
3,2,Meal Plan 1,Room_Type 1,2,2018,12,Online,142.0,Not Canceled
2,4,Meal Plan 1,Room_Type 4,34,2018,9,Online,95.17,Not Canceled
2,4,Meal Plan 1,Room_Type 1,86,2018,3,Offline,61.5,Not Canceled
2,9,Meal Plan 1,Room_Type 4,104,2018,7,Online,120.8,Not Canceled
2,2,Not Selected,Room_Type 1,17,2018,3,Online,79.0,Not Canceled
2,3,Meal Plan 1,Room_Type 1,56,2018,12,Online,93.6,Canceled
1,2,Meal Plan 1,Room_Type 1,192,2018,6,Offline,95.0,Not Canceled
2,1,Meal Plan 1,Room_Type 1,15,2018,2,Online,100.0,Not Canceled
2,2,Meal Plan 2,Room_Type 1,292,2018,7,Offline,115.0,Canceled
3,7,Meal Plan 1,Room_Type 1,97,2018,12,Online,103.7,Not Canceled
2,4,Not Selected,Room_Type 1,105,2018,10,Online,108.0,Canceled
4,2,Meal Plan 1,Room_Type 6,47,2018,8,Online,207.9,Canceled
2,2,Not Selected,Room_Type 1,46,2018,6,Online,89.1,Not Canceled
2,2,Meal Plan 2,Room_Type 1,74,2017,9,Offline,101.5,Not Canceled
2,5,Meal Plan 2,Room_Type 1,38,2018,12,Online,120.7,Not Canceled
2,3,Meal Plan 1,Room_Type 4,64,2018,10,Online,132.3,Not Canceled
2,3,Meal Plan 1,Room_Type 4,6,2018,5,Online,155.0,Not Canceled
2,2,Meal Plan 1,Room_Type 4,47,2018,10,Online,101.72,Not Canceled
2,5,Meal Plan 1,Room_Type 2,51,2018,4,Online,116.1,Canceled
4,3,Meal Plan 1,Room_Type 6,71,2018,10,Online,190.8,Not Canceled
1,2,Meal Plan 2,Room_Type 1,74,2017,9,Offline,87.0,Not Canceled
3,3,Meal Plan 1,Room_Type 1,102,2018,6,Online,159.3,Not Canceled
2,2,Meal Plan 2,Room_Type 1,39,2017,8,Offline,101.5,Not Canceled
2,3,Meal Plan 1,Room_Type 4,49,2017,11,Offline,60.0,Not Canceled
2,4,Meal Plan 1,Room_Type 1,73,2017,7,Online,68.0,Canceled
2,2,Meal Plan 1,Room_Type 4,48,2018,10,Online,139.5,Canceled
1,1,Meal Plan 1,Room_Type 1,41,2017,10,Online,120.0,Not Canceled
2,1,Not Selected,Room_Type 1,1,2018,2,Online,79.0,Canceled
1,1,Meal Plan 1,Room_Type 1,7,2018,5,Online,97.0,Not Canceled
2,6,Meal Plan 1,Room_Type 1,34,2018,1,Offline,50.33,Not Canceled
2,3,Meal Plan 2,Room_Type 1,34,2017,9,Offline,224.67,Canceled
4,3,Meal Plan 1,Room_Type 6,149,2018,8,Online,195.3,Not Canceled
4,4,Meal Plan 1,Room_Type 6,102,2018,6,Online,173.95,Not Canceled
2,4,Not Selected,Room_Type 1,205,2018,10,Online,85.5,Canceled
3,4,Meal Plan 1,Room_Type 1,196,2018,9,Online,150.45,Canceled
3,2,Meal Plan 2,Room_Type 1,188,2018,8,Online,164.25,Canceled
1,6,Meal Plan 1,Room_Type 1,77,2018,2,Online,69.84,Not Canceled
2,4,Meal Plan 1,Room_Type 1,104,2018,7,Online,114.3,Not Canceled
2,4,Not Selected,Room_Type 1,38,2018,8,Online,107.55,Not Canceled
2,4,Not Selected,Room_Type 1,49,2018,3,Online,63.75,Canceled
2,2,Meal Plan 2,Room_Type 1,386,2018,10,Offline,115.0,Canceled
2,1,Meal Plan 2,Room_Type 1,41,2017,9,Offline,110.0,Not Canceled
2,2,Meal Plan 1,Room_Type 1,12,2018,2,Online,93.0,Not Canceled
1,1,Meal Plan 1,Room_Type 1,1,2017,8,Corporate,65.0,Not Canceled
2,4,Meal Plan 1,Room_Type 1,80,2018,2,Offline,60.0,Not Canceled
1,2,Meal Plan 1,Room_Type 1,45,2018,11,Online,86.4,Canceled
2,1,Meal Plan 1,Room_Type 1,105,2018,4,Offline,75.0,Canceled
2,3,Meal Plan 1,Room_Type 1,31,2017,12,Offline,63.0,Not Canceled
2,2,Meal Plan 1,Room_Type 2,1,2018,1,Online,76.25,Not Canceled
3,1,Meal Plan 1,Room_Type 4,40,2018,7,Online,150.3,Not Canceled
2,2,Meal Plan 1,Room_Type 1,33,2018,1,Corporate,64.0,Not Canceled
2,3,Meal Plan 2,Room_Type 1,131,2017,8,Offline,94.5,Not Canceled
2,5,Meal Plan 1,Room_Type 4,17,2018,12,Online,125.8,Not Canceled
2,4,Meal Plan 1,Room_Type 1,121,2017,12,Online,72.25,Not Canceled
2,5,Meal Plan 1,Room_Type 1,4,2017,8,Online,90.0,Not Canceled
1,2,Meal Plan 1,Room_Type 1,9,2018,3,Corporate,67.0,Not Canceled
2,3,Not Selected,Room_Type 1,1,2018,12,Online,90.33,Not Canceled
3,2,Meal Plan 1,Room_Type 4,204,2018,12,Online,133.2,Not Canceled
2,1,Not Selected,Room_Type 1,6,2018,8,Online,118.0,Not Canceled
2,3,Meal Plan 1,Room_Type 1,83,2018,11,Online,90.0,Not Canceled
3,1,Meal Plan 1,Room_Type 4,59,2018,3,Online,123.3,Not Canceled
2,3,Meal Plan 1,Room_Type 1,24,2018,9,Online,122.0,Not Canceled
1,2,Meal Plan 1,Room_Type 1,46,2018,11,Offline,67.5,Not Canceled
2,3,Meal Plan 2,Room_Type 1,315,2018,9,Offline,160.0,Canceled
3,4,Meal Plan 1,Room_Type 4,54,2018,1,Online,95.19,Not Canceled
2,2,Meal Plan 2,Room_Type 1,291,2018,8,Offline,115.0,Canceled
1,1,Meal Plan 1,Room_Type 1,6,2018,11,Corporate,67.0,Not Canceled
2,3,Meal Plan 1,Room_Type 1,119,2018,3,Offline,55.0,Not Canceled
2,8,Meal Plan 1,Room_Type 1,205,2018,9,Online,111.35,Canceled
2,4,Meal Plan 1,Room_Type 1,19,2018,10,Offline,85.0,Not Canceled
1,3,Meal Plan 1,Room_Type 1,151,2018,1,Offline,70.67,Not Canceled
2,4,Meal Plan 1,Room_Type 1,49,2018,3,Online,75.95,Not Canceled
1,1,Meal Plan 1,Room_Type 1,3,2017,8,Complementary,0.0,Not Canceled
2,4,Meal Plan 1,Room_Type 1,151,2018,7,Online,110.58,Canceled
1,1,Meal Plan 1,Room_Type 1,14,2018,12,Corporate,67.0,Not Canceled
2,3,Meal Plan 1,Room_Type 1,81,2018,2,Offline,60.0,Not Canceled
2,5,Meal Plan 1,Room_Type 1,265,2018,10,Online,100.3,Canceled
3,2,Meal Plan 1,Room_Type 5,2,2018,10,Online,225.0,Not Canceled
2,3,Meal Plan 1,Room_Type 1,197,2018,8,Offline,112.0,Canceled
2,4,Meal Plan 1,Room_Type 4,38,2018,3,Online,103.95,Not Canceled
2,3,Not Selected,Room_Type 1,208,2018,8,Online,91.5,Not Canceled
2,4,Meal Plan 1,Room_Type 1,105,2018,6,Online,99.45,Not Canceled
3,4,Meal Plan 1,Room_Type 1,11,2018,12,Online,103.1,Not Canceled
2,3,Meal Plan 1,Room_Type 1,134,2018,8,Online,114.5,Not Canceled
2,3,Meal Plan 1,Room_Type 4,39,2018,3,Online,121.8,Canceled
2,2,Meal Plan 1,Room_Type 4,144,2018,6,Online,140.4,Not Canceled
1,3,Not Selected,Room_Type 1,116,2018,12,Online,79.2,Not Canceled
2,3,Meal Plan 1,Room_Type 1,65,2017,10,Offline,72.25,Not Canceled
2,2,Meal Plan 2,Room_Type 1,74,2017,9,Offline,109.0,Not Canceled
2,2,Meal Plan 2,Room_Type 1,346,2018,9,Offline,115.0,Canceled
2,2,Not Selected,Room_Type 4,5,2017,9,Online,124.5,Not Canceled
3,4,Meal Plan 1,Room_Type 4,59,2018,12,Online,119.0,Not Canceled
2,2,Meal Plan 1,Room_Type 1,11,2017,8,Corporate,75.0,Canceled
2,2,Meal Plan 1,Room_Type 1,141,2018,9,Online,123.8,Not Canceled
1,1,Meal Plan 1,Room_Type 1,1,2018,1,Online,85.0,Not Canceled
2,4,Meal Plan 1,Room_Type 1,112,2018,12,Online,88.4,Canceled
1,3,Meal Plan 1,Room_Type 1,151,2018,1,Offline,71.0,Not Canceled
1,2,Not Selected,Room_Type 1,2,2018,11,Online,104.0,Not Canceled
2,5,Meal Plan 1,Room_Type 1,25,2018,1,Offline,91.0,Not Canceled
3,2,Meal Plan 1,Room_Type 1,7,2018,11,Complementary,0.0,Not Canceled
3,7,Meal Plan 1,Room_Type 4,160,2018,8,Online,138.55,Canceled
2,2,Meal Plan 1,Room_Type 4,41,2018,6,Online,142.2,Canceled
2,3,Meal Plan 1,Room_Type 4,157,2018,6,Online,132.9,Canceled
2,3,Meal Plan 1,Room_Type 1,180,2018,10,Online,108.9,Canceled
2,3,Meal Plan 1,Room_Type 1,3,2017,9,Corporate,120.0,Not Canceled
1,2,Meal Plan 1,Room_Type 4,27,2018,4,Online,105.49,Canceled
2,3,Meal Plan 2,Room_Type 1,98,2018,5,Offline,105.0,Not Canceled
1,1,Not Selected,Room_Type 1,65,2018,11,Online,79.2,Not Canceled
2,2,Meal Plan 2,Room_Type 1,39,2017,8,Offline,101.5,Not Canceled
2,2,Meal Plan 1,Room_Type 1,0,2018,10,Online,165.0,Not Canceled
2,5,Meal Plan 1,Room_Type 1,81,2018,4,Online,90.95,Canceled
1,2,Meal Plan 1,Room_Type 1,0,2017,9,Complementary,170.0,Not Canceled
1,3,Meal Plan 2,Room_Type 1,36,2017,10,Offline,91.0,Not Canceled
1,7,Meal Plan 1,Room_Type 4,3,2018,9,Online,179.71,Canceled
1,1,Meal Plan 1,Room_Type 1,6,2018,10,Corporate,89.0,Not Canceled
2,4,Meal Plan 1,Room_Type 4,102,2018,5,Online,132.6,Not Canceled
2,1,Not Selected,Room_Type 1,37,2018,5,Online,89.4,Not Canceled
2,2,Meal Plan 1,Room_Type 4,2,2018,5,Online,118.0,Not Canceled
3,5,Meal Plan 1,Room_Type 1,151,2018,7,Online,133.45,Canceled
2,2,Meal Plan 2,Room_Type 1,265,2018,6,Offline,115.0,Canceled
1,1,Not Selected,Room_Type 1,3,2018,10,Online,84.7,Not Canceled
1,1,Meal Plan 1,Room_Type 1,8,2018,5,Corporate,67.0,Not Canceled
2,3,Meal Plan 1,Room_Type 1,85,2018,4,Online,96.3,Canceled
2,1,Not Selected,Room_Type 1,0,2018,2,Online,79.0,Not Canceled
3,4,Meal Plan 1,Room_Type 4,11,2018,5,Online,141.95,Not Canceled
2,4,Meal Plan 1,Room_Type 1,98,2018,5,Online,119.85,Not Canceled
2,2,Not Selected,Room_Type 1,15,2018,8,Online,124.0,Not Canceled
4,5,Meal Plan 1,Room_Type 6,78,2018,12,Online,147.9,Not Canceled
2,3,Meal Plan 1,Room_Type 1,56,2017,10,Online,94.5,Not Canceled
3,2,Meal Plan 1,Room_Type 4,135,2018,10,Online,151.2,Not Canceled
3,2,Meal Plan 1,Room_Type 4,21,2018,12,Online,375.5,Not Canceled
2,3,Meal Plan 1,Room_Type 2,14,2018,6,Online,116.49,Not Canceled
2,5,Not Selected,Room_Type 1,27,2018,12,Online,54.71,Not Canceled
2,3,Meal Plan 1,Room_Type 1,5,2017,10,Offline,90.0,Not Canceled
2,3,Meal Plan 1,Room_Type 4,118,2018,10,Online,104.4,Not Canceled
1,2,Meal Plan 1,Room_Type 2,132,2018,8,Online,70.56,Not Canceled
1,3,Meal Plan 1,Room_Type 1,114,2018,7,Offline,75.0,Canceled
1,1,Meal Plan 1,Room_Type 1,2,2017,7,Corporate,65.0,Not Canceled
2,1,Meal Plan 2,Room_Type 1,219,2017,9,Offline,108.0,Canceled
3,2,Meal Plan 1,Room_Type 4,100,2018,7,Online,146.7,Not Canceled
4,11,Meal Plan 1,Room_Type 6,79,2018,10,Online,172.23,Not Canceled
2,1,Meal Plan 1,Room_Type 1,0,2017,8,Online,81.0,Not Canceled
2,3,Meal Plan 1,Room_Type 4,94,2017,11,Online,65.45,Not Canceled
2,2,Meal Plan 2,Room_Type 1,63,2017,9,Offline,116.0,Not Canceled
2,4,Meal Plan 1,Room_Type 1,101,2018,2,Online,67.45,Not Canceled
1,3,Meal Plan 1,Room_Type 1,276,2018,9,Offline,95.67,Not Canceled
1,3,Meal Plan 1,Room_Type 1,163,2018,10,Offline,115.0,Canceled
2,3,Meal Plan 1,Room_Type 1,28,2018,6,Online,102.85,Canceled
4,3,Meal Plan 1,Room_Type 7,31,2018,9,Online,197.65,Not Canceled
1,3,Meal Plan 1,Room_Type 1,19,2018,9,Online,117.81,Not Canceled
2,4,Meal Plan 1,Room_Type 1,226,2018,10,Offline,70.0,Not Canceled
2,2,Meal Plan 1,Room_Type 4,9,2018,2,Online,115.0,Canceled
3,3,Meal Plan 1,Room_Type 1,77,2018,5,Online,159.3,Canceled
2,3,Meal Plan 1,Room_Type 4,109,2018,5,Offline,90.95,Not Canceled
2,2,Meal Plan 1,Room_Type 1,70,2018,6,Offline,100.0,Not Canceled
1,1,Meal Plan 1,Room_Type 1,4,2018,7,Online,151.0,Not Canceled
2,5,Meal Plan 1,Room_Type 4,35,2018,9,Online,139.14,Not Canceled
1,1,Meal Plan 1,Room_Type 1,1,2018,1,Online,90.0,Not Canceled
3,1,Meal Plan 1,Room_Type 4,9,2018,5,Online,147.0,Not Canceled
2,3,Meal Plan 1,Room_Type 1,29,2018,3,Online,86.93,Not Canceled
2,1,Meal Plan 1,Room_Type 1,56,2018,6,Offline,120.0,Not Canceled
2,3,Meal Plan 1,Room_Type 1,116,2018,5,Offline,75.0,Not Canceled
2,2,Meal Plan 1,Room_Type 4,64,2018,8,Online,158.4,Not Canceled
1,2,Not Selected,Room_Type 1,13,2018,11,Online,134.75,Not Canceled
3,5,Meal Plan 1,Room_Type 4,168,2018,8,Offline,107.1,Canceled
2,2,Meal Plan 1,Room_Type 1,9,2018,5,Online,111.35,Not Canceled
4,3,Meal Plan 1,Room_Type 6,2,2017,9,Online,174.0,Not Canceled
1,4,Meal Plan 1,Room_Type 1,14,2018,5,Offline,72.0,Not Canceled
1,1,Meal Plan 1,Room_Type 1,0,2017,11,Online,91.0,Not Canceled
2,4,Meal Plan 1,Room_Type 4,92,2018,5,Offline,106.08,Not Canceled
1,1,Meal Plan 1,Room_Type 1,238,2018,10,Offline,80.0,Not Canceled
2,3,Meal Plan 1,Room_Type 1,19,2018,10,Online,149.0,Canceled
1,2,Meal Plan 1,Room_Type 1,164,2017,10,Offline,100.0,Not Canceled
2,5,Meal Plan 1,Room_Type 1,71,2018,3,Online,73.95,Canceled
2,2,Meal Plan 1,Room_Type 1,65,2018,9,Online,107.1,Not Canceled
2,4,Not Selected,Room_Type 1,76,2017,10,Online,58.76,Not Canceled
2,17,Meal Plan 1,Room_Type 1,81,2017,8,Online,76.5,Canceled
2,5,Not Selected,Room_Type 1,3,2018,11,Online,99.1,Not Canceled
3,2,Meal Plan 1,Room_Type 1,7,2018,12,Online,158.0,Not Canceled
1,4,Meal Plan 1,Room_Type 4,7,2018,10,Aviation,110.0,Not Canceled
3,1,Meal Plan 1,Room_Type 4,7,2018,5,Online,141.95,Not Canceled
2,1,Not Selected,Room_Type 1,0,2018,7,Online,89.0,Not Canceled
2,1,Not Selected,Room_Type 1,1,2018,12,Online,79.5,Not Canceled
2,5,Meal Plan 1,Room_Type 1,35,2018,3,Offline,63.0,Not Canceled
2,2,Meal Plan 1,Room_Type 1,113,2018,6,Online,126.9,Canceled
2,4,Meal Plan 1,Room_Type 1,12,2017,12,Offline,58.0,Not Canceled
2,1,Meal Plan 1,Room_Type 4,3,2018,9,Online,194.0,Not Canceled
2,2,Meal Plan 1,Room_Type 1,80,2018,4,Online,96.3,Not Canceled
2,3,Meal Plan 1,Room_Type 1,12,2018,1,Offline,82.0,Not Canceled
1,1,Meal Plan 1,Room_Type 1,1,2017,10,Online,120.0,Not Canceled
1,3,Meal Plan 1,Room_Type 1,0,2018,2,Corporate,66.0,Not Canceled
3,3,Meal Plan 1,Room_Type 4,38,2018,5,Online,159.3,Canceled
2,5,Meal Plan 1,Room_Type 1,66,2017,9,Online,89.25,Not Canceled
2,6,Meal Plan 1,Room_Type 4,10,2017,9,Online,110.08,Not Canceled
2,2,Meal Plan 1,Room_Type 1,245,2018,6,Offline,75.0,Canceled
2,1,Meal Plan 2,Room_Type 1,100,2017,10,Offline,108.0,Canceled
2,3,Meal Plan 1,Room_Type 1,135,2017,9,Offline,90.0,Not Canceled
2,4,Meal Plan 1,Room_Type 1,10,2018,2,Offline,85.0,Not Canceled
3,2,Meal Plan 1,Room_Type 4,27,2018,4,Online,153.0,Not Canceled
2,4,Meal Plan 1,Room_Type 1,64,2018,4,Online,99.45,Not Canceled
2,2,Meal Plan 1,Room_Type 1,50,2018,11,Online,145.69,Canceled
2,1,Meal Plan 1,Room_Type 1,2,2017,9,Complementary,0.0,Not Canceled
2,5,Meal Plan 1,Room_Type 1,206,2018,7,Online,90.95,Canceled
2,1,Not Selected,Room_Type 1,1,2018,9,Online,159.0,Not Canceled
2,2,Meal Plan 1,Room_Type 1,301,2018,11,Offline,52.0,Canceled
2,5,Not Selected,Room_Type 1,13,2018,8,Online,82.4,Not Canceled
2,1,Meal Plan 1,Room_Type 1,50,2018,5,Online,126.9,Canceled
1,4,Meal Plan 1,Room_Type 7,6,2018,9,Online,211.41,Not Canceled
2,4,Meal Plan 1,Room_Type 1,29,2017,10,Online,96.3,Not Canceled
2,2,Meal Plan 2,Room_Type 1,102,2017,10,Offline,109.0,Not Canceled
2,3,Meal Plan 2,Room_Type 1,124,2017,8,Offline,94.5,Canceled
2,1,Meal Plan 1,Room_Type 1,5,2018,6,Corporate,100.0,Not Canceled
2,4,Not Selected,Room_Type 1,346,2018,12,Online,72.25,Canceled
2,2,Meal Plan 2,Room_Type 1,155,2018,6,Offline,119.24,Canceled
4,4,Meal Plan 1,Room_Type 6,47,2018,8,Online,207.9,Canceled
3,1,Meal Plan 1,Room_Type 4,111,2018,7,Online,146.7,Not Canceled
2,2,Meal Plan 1,Room_Type 1,317,2018,9,Offline,120.0,Canceled
2,4,Meal Plan 1,Room_Type 1,12,2018,5,Offline,104.0,Not Canceled
2,3,Meal Plan 1,Room_Type 1,135,2017,9,Offline,90.0,Not Canceled
2,1,Meal Plan 1,Room_Type 1,105,2018,4,Offline,75.0,Canceled
2,2,Meal Plan 1,Room_Type 4,15,2018,9,Online,141.68,Canceled
1,2,Meal Plan 1,Room_Type 1,0,2017,10,Corporate,65.0,Not Canceled
2,5,Meal Plan 1,Room_Type 1,33,2018,9,Online,135.9,Canceled
2,1,Meal Plan 1,Room_Type 1,3,2018,6,Online,141.0,Not Canceled
2,1,Meal Plan 1,Room_Type 1,105,2018,4,Offline,75.0,Canceled
1,3,Meal Plan 1,Room_Type 1,116,2018,2,Offline,61.0,Canceled
2,3,Meal Plan 1,Room_Type 1,128,2018,6,Online,126.9,Not Canceled
3,1,Meal Plan 1,Room_Type 1,36,2018,4,Online,150.3,Not Canceled
2,4,Meal Plan 2,Room_Type 1,160,2018,10,Online,125.1,Canceled
2,1,Not Selected,Room_Type 1,60,2018,6,Online,116.1,Canceled
2,4,Meal Plan 1,Room_Type 1,81,2017,10,Online,89.25,Canceled
2,3,Meal Plan 1,Room_Type 1,66,2017,10,Offline,75.0,Canceled
2,3,Meal Plan 2,Room_Type 1,161,2018,3,Offline,130.0,Canceled
2,4,Meal Plan 1,Room_Type 4,33,2018,3,Online,97.4,Not Canceled
2,5,Meal Plan 1,Room_Type 4,17,2018,6,Online,144.84,Not Canceled
2,4,Meal Plan 1,Room_Type 1,165,2018,7,Online,99.45,Not Canceled
2,2,Meal Plan 1,Room_Type 4,135,2018,7,Online,127.8,Not Canceled
2,1,Meal Plan 1,Room_Type 1,62,2017,9,Offline,71.4,Not Canceled
2,3,Meal Plan 1,Room_Type 1,50,2018,1,Offline,52.0,Not Canceled
2,2,Meal Plan 2,Room_Type 1,239,2018,6,Offline,112.2,Canceled
2,4,Not Selected,Room_Type 1,217,2018,9,Online,101.15,Canceled
2,2,Not Selected,Room_Type 1,2,2018,1,Online,75.0,Not Canceled
2,3,Not Selected,Room_Type 1,53,2018,7,Online,72.76,Not Canceled
3,1,Meal Plan 1,Room_Type 1,125,2018,7,Online,130.5,Not Canceled
2,3,Not Selected,Room_Type 1,99,2018,7,Online,109.5,Not Canceled
2,2,Meal Plan 1,Room_Type 1,32,2018,9,Online,135.9,Not Canceled
1,2,Meal Plan 1,Room_Type 1,0,2018,2,Online,85.0,Canceled
1,3,Meal Plan 1,Room_Type 1,111,2018,10,Offline,120.0,Not Canceled
2,4,Not Selected,Room_Type 1,100,2018,9,Online,91.51,Canceled
2,2,Meal Plan 2,Room_Type 1,292,2018,7,Offline,115.0,Canceled
2,5,Meal Plan 1,Room_Type 1,132,2017,10,Online,89.25,Not Canceled
1,1,Meal Plan 1,Room_Type 1,3,2018,4,Online,76.0,Not Canceled
2,1,Meal Plan 1,Room_Type 1,2,2018,3,Corporate,40.0,Not Canceled
2,2,Not Selected,Room_Type 1,4,2018,3,Online,89.0,Not Canceled
2,3,Meal Plan 1,Room_Type 1,193,2018,6,Offline,120.0,Canceled
1,1,Meal Plan 1,Room_Type 1,14,2018,8,Online,124.0,Not Canceled
2,6,Meal Plan 1,Room_Type 1,28,2018,11,Online,88.4,Not Canceled
1,5,Meal Plan 1,Room_Type 1,115,2018,2,Offline,76.0,Not Canceled
1,2,Meal Plan 1,Room_Type 1,188,2018,6,Offline,130.0,Canceled
1,3,Not Selected,Room_Type 1,6,2017,10,Online,87.78,Not Canceled
1,1,Not Selected,Room_Type 1,36,2018,12,Online,77.99,Not Canceled
2,4,Meal Plan 1,Room_Type 4,17,2018,12,Online,125.8,Not Canceled
2,1,Not Selected,Room_Type 1,0,2018,8,Online,93.81,Not Canceled
2,4,Not Selected,Room_Type 1,20,2018,8,Online,112.25,Not Canceled
3,2,Meal Plan 1,Room_Type 4,105,2018,9,Online,168.3,Not Canceled
2,2,Not Selected,Room_Type 1,174,2018,7,Online,94.5,Canceled
2,2,Meal Plan 1,Room_Type 1,254,2017,10,Online,98.25,Canceled
2,3,Meal Plan 1,Room_Type 1,280,2018,9,Offline,110.0,Canceled
2,1,Meal Plan 1,Room_Type 1,54,2018,11,Offline,72.0,Not Canceled
3,6,Meal Plan 1,Room_Type 1,59,2018,7,Online,90.51,Not Canceled
3,1,Meal Plan 1,Room_Type 4,27,2018,2,Online,127.0,Not Canceled
1,2,Meal Plan 1,Room_Type 4,38,2018,2,Online,91.9,Not Canceled
1,2,Meal Plan 1,Room_Type 1,3,2018,2,Corporate,66.0,Not Canceled
2,2,Meal Plan 1,Room_Type 1,317,2018,9,Offline,120.0,Canceled
2,3,Meal Plan 1,Room_Type 1,92,2018,6,Offline,80.75,Not Canceled
2,3,Meal Plan 1,Room_Type 4,11,2018,6,Corporate,90.0,Canceled
2,3,Not Selected,Room_Type 1,1,2018,4,Online,89.0,Not Canceled
1,1,Meal Plan 1,Room_Type 1,9,2018,10,Corporate,65.0,Not Canceled
2,3,Meal Plan 1,Room_Type 1,259,2018,5,Offline,90.0,Canceled
1,3,Meal Plan 1,Room_Type 4,129,2018,5,Online,121.5,Not Canceled
